"platform","source_file","package_file","hash_match","source_sha256","package_sha256"
"web","tgs_about_v4.html","web-pages/tgs_about_v4.html","True","9253635A97FC11D236D0FB8CFCFC5C909B28C183C039B06F77AAA50CC19607E1","9253635A97FC11D236D0FB8CFCFC5C909B28C183C039B06F77AAA50CC19607E1"
"web","tgs_contact_v4.html","web-pages/tgs_contact_v4.html","True","596F5461AD5A66CC1A38020C3A2D706D0B43497701A354D932701CEDBB6824FD","596F5461AD5A66CC1A38020C3A2D706D0B43497701A354D932701CEDBB6824FD"
"web","tgs_home_v7.html","web-pages/tgs_home_v7.html","True","12C6F9EF51142D2913D76E1B3F0FB54A95B440A8EF844D88F076EE800604CA4A","12C6F9EF51142D2913D76E1B3F0FB54A95B440A8EF844D88F076EE800604CA4A"
"web","tgs_how_it_works_v4 (2).html","web-pages/tgs_how_it_works_v4 (2).html","True","557514D68FF83D6F1394304718140410D8999EAF2BFB7A275D72BC797E82707C","557514D68FF83D6F1394304718140410D8999EAF2BFB7A275D72BC797E82707C"
"web","tgs_legal_v5.html","web-pages/tgs_legal_v5.html","True","531577815F8C29413D6CC6FE62423801FE9DE5BF94F3307919FCDDB69F70A596","531577815F8C29413D6CC6FE62423801FE9DE5BF94F3307919FCDDB69F70A596"
"web","tgs_list_your_venue_v4.html","web-pages/tgs_list_your_venue_v4.html","True","D290A119C3260BA8EBEFB512730A208785FACB2E56B781A86667CEE3C851CB07","D290A119C3260BA8EBEFB512730A208785FACB2E56B781A86667CEE3C851CB07"
"web","tgs_venues.html","web-pages/tgs_venues.html","True","72B0FCE74ECE652D582D0BFEB7680C2AC8643359162E99E04B1B0A41F9C96744","72B0FCE74ECE652D582D0BFEB7680C2AC8643359162E99E04B1B0A41F9C96744"
"web","tgs_venues_v3.html","web-pages/tgs_venues_v3.html","True","CF8F8ADABBB409A3FD1D99DA83625B7F85A77226D80B872A18065D826AE0ECE8","CF8F8ADABBB409A3FD1D99DA83625B7F85A77226D80B872A18065D826AE0ECE8"
"web","tgs_wellness_edit_v2 (1).html","web-pages/tgs_wellness_edit_v2 (1).html","True","F1EC474AC0897D86024EA0C3EDE053E86670D46E5C79C9B5B02A3952C4430520","F1EC474AC0897D86024EA0C3EDE053E86670D46E5C79C9B5B02A3952C4430520"
"web","tgs_wellness_experiences_v6.html","web-pages/tgs_wellness_experiences_v6.html","True","290CA864D577D483C4565A04913A8F8CDC30B18F31E9447446F823DFEAE262F7","290CA864D577D483C4565A04913A8F8CDC30B18F31E9447446F823DFEAE262F7"
"portal","TGS Internal Portal - Bookings Dashboard.html","portal-pages/TGS Internal Portal - Bookings Dashboard.html","True","5F7C9C5D90B03FBF79705376F222F70F5A5BAC4CC104362890A10E7429B2EC6E","5F7C9C5D90B03FBF79705376F222F70F5A5BAC4CC104362890A10E7429B2EC6E"
